targeted_phenomenon,gold_label,id,sentence1,sentence2
comparatives,contradiction,1,The member countries have more people and exports than the United States but a somewhat smaller gross domestic product .,The United States has not a larger gross domestic product than the member countries .
comparatives,entailment,2,The member countries have more people and exports than the United States but a somewhat smaller gross domestic product .,The United States has a larger gross domestic product than the member countries .
comparatives,contradiction,3,"An ACI system requires much less in terms of steel , labor , or other resources to install than either FGD or SCR technology .",The ACI system is more resource-intensive than other technologies .
comparatives,entailment,4,"An ACI system requires much less in terms of steel , labor , or other resources to install than either FGD or SCR technology .",The ACI system is not more resource-intensive than other technologies .
comparatives,entailment,5,"We received and considered more than 200 comments , the majority of which we addressed .",There were not less than 100 comments received .
comparatives,contradiction,6,"We received and considered more than 200 comments , the majority of which we addressed .",There were less than 100 comments received .
comparatives,entailment,7,"What they do know , however , is that men 's chins have been getting larger over the last 200 generations .",The chins have not gotten smaller over the years .
comparatives,contradiction,8,"What they do know , however , is that men 's chins have been getting larger over the last 200 generations .",The chins have gotten smaller over the years .
comparatives,contradiction,9,Some have noted that the less robust estimates based on the Six-Cities Study are significantly higher than those based on the more broadly distributed ACS data sets .,The less robust estimates are not based on the Six-Cities Study .
comparatives,entailment,10,Some have noted that the less robust estimates based on the Six-Cities Study are significantly higher than those based on the more broadly distributed ACS data sets .,The less robust estimates are based on the Six-Cities Study .
comparatives,contradiction,11,"He was a smaller man , only slightly taller than San ` doro .",He was not a bit larger than San ` doro .
comparatives,entailment,12,"He was a smaller man , only slightly taller than San ` doro .",He was a bit larger than San ` doro .
comparatives,entailment,13,The distribution of route profits is much more skewed for the U.S.,Distribution of route profits is not less skewed for the US .
comparatives,contradiction,14,The distribution of route profits is much more skewed for the U.S.,Distribution of route profits is less skewed for the US .
comparatives,contradiction,15,They even weighed themselves less often -LRB- three times a month vs. seven times a month -RRB- .,They even weighed themselves more often .
comparatives,entailment,16,They even weighed themselves less often -LRB- three times a month vs. seven times a month -RRB- .,They even did not weigh themselves more often .
comparatives,contradiction,17,"and other , less printable , rhymes .",There are other more printable rhymes .
comparatives,neutral,18,"and other , less printable , rhymes .",There are not other more printable rhymes .
comparatives,contradiction,19,Huge men with golden skin stood next to smaller darker men of thinner build .,The larger men were very dark .
comparatives,entailment,20,Huge men with golden skin stood next to smaller darker men of thinner build .,The larger men were not very dark .
comparatives,contradiction,21,Huge men with golden skin stood next to smaller darker men of thinner build .,The larger men had not light skin .
comparatives,contradiction,22,"While Hollywood is more remembered than experienced nowadays , its neighbor West Hollywood a separate , incorporated city defines the new cutting edge .",Hollywood is not less experienced than remembered now actually .
comparatives,entailment,23,"While Hollywood is more remembered than experienced nowadays , its neighbor West Hollywood a separate , incorporated city defines the new cutting edge .",Hollywood is less experienced than remembered now actually .
comparatives,entailment,24,The drug warriors seek more drug-free zones .,Drug warriors do not want less drug-free zones .
comparatives,contradiction,25,The drug warriors seek more drug-free zones .,Drug warriors want less drug-free zones .
comparatives,entailment,26,"Ned Devine is this year 's stab at The Full Monty -LRB- 1997 -RRB- , which made more than $ 100 million and even snagged an Oscar nomination .",The film did not make less than $ 10 .
comparatives,contradiction,27,"Ned Devine is this year 's stab at The Full Monty -LRB- 1997 -RRB- , which made more than $ 100 million and even snagged an Oscar nomination .",The film made less than $ 10 .
comparatives,contradiction,28,"5 In addition , typical MEL absorber units need less steel due to the use of smaller absorbers enabled by shorter residence time requirements than for LFSO systems .",Less steel is not required by the more common MEL absorber units .
comparatives,entailment,29,"5 In addition , typical MEL absorber units need less steel due to the use of smaller absorbers enabled by shorter residence time requirements than for LFSO systems .",Less steel is required by the more common MEL absorber units .
comparatives,entailment,30,"For Clinton , the challenge of dominance is to act more responsibly and less politically .",Clinton 's challenge of dominance is to act more responsibly and less politically .
comparatives,contradiction,31,"For Clinton , the challenge of dominance is to act more responsibly and less politically .",Clinton 's challenge of dominance is not to act more responsibly and less politically .
comparatives,entailment,32,"As a consequence , the PRC costing methodology generally attributes a larger portion of total operating costs than does the Service .","Under the PRC costing methodology , there is not a smaller portion of total operating costs compared to the Service ."
comparatives,contradiction,33,"As a consequence , the PRC costing methodology generally attributes a larger portion of total operating costs than does the Service .","Under the PRC costing methodology , there is a smaller portion of total operating costs compared to the Service ."
comparatives,entailment,34,"These reform efforts being undertaken in major democracies are taking a generally consistent direction , requiring government organizations to focus more on results and less on process .",The reform efforts in major democracies require governmental organizations to focus more on results .
comparatives,contradiction,35,"These reform efforts being undertaken in major democracies are taking a generally consistent direction , requiring government organizations to focus more on results and less on process .",The reform efforts in major democracies do not require governmental organizations to focus more on results .
comparatives,contradiction,36,"The larger parks are quite expensive , so plan a long stay to get your money 's worth .",Larger parks are cheaper than smaller parks .
comparatives,entailment,37,"The larger parks are quite expensive , so plan a long stay to get your money 's worth .",Larger parks are not cheaper than smaller parks .
comparatives,entailment,38,"And while multinational chains have made inroads , they seem less blatant here than elsewhere .",Multinational chains are not more common here than anywhere else .
comparatives,contradiction,39,"And while multinational chains have made inroads , they seem less blatant here than elsewhere .",Multinational chains are more common here than anywhere else .
comparatives,contradiction,40,He is much more heartfelt about prison reform than about Wachtler reform .,He is not less passionate about Wachtler reform than he is about prison reform .
comparatives,entailment,41,He is much more heartfelt about prison reform than about Wachtler reform .,He is less passionate about Wachtler reform than he is about prison reform .
comparatives,entailment,42,"As noted in Chapter 4 , ACI entails a much smaller construction project than either an FGD or an SCR .",FGD and SCR are larger construction projects than ACI .
comparatives,contradiction,43,"As noted in Chapter 4 , ACI entails a much smaller construction project than either an FGD or an SCR .",FGD and SCR are not larger construction projects than ACI .
comparatives,entailment,44,there were two two separate furnace rooms and so i took the smaller furnace room and now it 's full of trains,I did not choose to take the larger furnace room .
comparatives,contradiction,45,there were two two separate furnace rooms and so i took the smaller furnace room and now it 's full of trains,I chose to take the larger furnace room .
comparatives,entailment,46,"Parents are rushing to enroll kids in charters , which generally offer smaller classes and more enthusiastic teachers .",Charters generally have not significantly larger classes .
comparatives,contradiction,47,"Parents are rushing to enroll kids in charters , which generally offer smaller classes and more enthusiastic teachers .",Charters generally have significantly larger classes .
comparatives,contradiction,48,"In a sense , you get more ballet for your money in the Kirov version .",You do not spend less money for the ballet content found in the Kirov version .
comparatives,entailment,49,"In a sense , you get more ballet for your money in the Kirov version .",You spend less money for the ballet content found in the Kirov version .
comparatives,entailment,50,"San ` doro cut open the thigh of another rider , the smaller of the two .",The larger rider was not cut on the thigh .
comparatives,contradiction,51,"San ` doro cut open the thigh of another rider , the smaller of the two .",The larger rider was cut on the thigh .
comparatives,entailment,52,"Cave 9 , a sanctuary from the first century b.c. , is smaller than number 10 .",Number 10 is larger than the ancient Cave 9 .
comparatives,contradiction,53,"Cave 9 , a sanctuary from the first century b.c. , is smaller than number 10 .",Number 10 is not larger than the ancient Cave 9 .
comparatives,contradiction,54,"Buses to the beaches are cheaper and faster than the ferries , if less adventurous .",The buses are more expensive than the ferry
comparatives,entailment,55,"Buses to the beaches are cheaper and faster than the ferries , if less adventurous .",The buses are not more expensive than the ferry
comparatives,entailment,56,"As Bush 's inquisitors focus less on the truth and more on politics , the inquisition becomes self-justifying .",The inquisitors are self justifying as they focus less on the truth .
comparatives,contradiction,57,"As Bush 's inquisitors focus less on the truth and more on politics , the inquisition becomes self-justifying .",The inquisitors are not self justifying as they focus less on the truth .
comparatives,entailment,58,"This agreement , which gave the Serbs a great deal more than Vance-Owen would have , was puffed as a Nobel-worthy diplomatic accomplishment .",That agreement did not give the Serbs a lot less than Vance-Owen would have .
